id,task_id,name,worker_id,task_duration
6155324c8b2b41e2a4c86066a3978827,10686,Image Labelling : Explicit Treatment,20426,35.775
aeb50c9411634069b6be5fa0daf2b670,10686,Image Labelling : Explicit Treatment,4682,5.887
62362b06e6ce45be937bcbff7fe03670,10686,Image Labelling : Explicit Treatment,34810,17.052
16b141f051324353bcab8c1976fdea72,10686,Image Labelling : Explicit Treatment,38990,14.287
34e6aa60f1f0426e9d6038e7a93cb14e,10686,Image Labelling : Explicit Treatment,38990,5.623
63269d29ca6c4487b95e10e5f6066dd8,10686,Image Labelling : Explicit Treatment,38990,6.908
b54ba7e4dc204736bed01da3a7bf3cb9,10686,Image Labelling : Explicit Treatment,38990,6.852
c2e1138da32942aabce6532e9a2b85f5,10686,Image Labelling : Explicit Treatment,11948,7.864
0a53d30d5b104c9c9998de45b5028bd9,10686,Image Labelling : Explicit Treatment,11948,4.453
0c45abff22df48dfb4b0db2c17a581bb,10686,Image Labelling : Explicit Treatment,11948,10.966
0db41585ba994dc4b21e339a802a54cd,10686,Image Labelling : Explicit Treatment,11948,5.884
12e1b4f48ce94446b82f462ce54da815,10686,Image Labelling : Explicit Treatment,11948,38.504
22a3c44ac4fb4be996748c333e835ac0,10686,Image Labelling : Explicit Treatment,11948,30.691
4139207e8cfd444cb051c0a44049a464,10686,Image Labelling : Explicit Treatment,11948,23.202
55073fe12c86499097a980ed97c56cab,10686,Image Labelling : Explicit Treatment,11948,10.808
6a49fc170d7c4cdb9be2ee7260450ea2,10686,Image Labelling : Explicit Treatment,11948,27.203
98205ce6690849aa9f3c23a14818fdff,10686,Image Labelling : Explicit Treatment,11948,18.382
9e55226f0a334812b81608f183047ad6,10686,Image Labelling : Explicit Treatment,11948,11.452
ac568bdefeb9412ab7a3c3bd4fdced26,10686,Image Labelling : Explicit Treatment,11948,10.279
acc73b5a3b494a02aaf2f0f0261f2089,10686,Image Labelling : Explicit Treatment,11948,17.287
1e378a7e6b98493db9157951c070f878,10686,Image Labelling : Explicit Treatment,11948,13.163
3d8c986e6e04439083098c7ae5bf8679,10686,Image Labelling : Explicit Treatment,11948,7.312
50580ae5a4504093b01dfe09a3d19b5b,10686,Image Labelling : Explicit Treatment,11948,15.926
7def1b91fd0044f8874d063d681f537c,10686,Image Labelling : Explicit Treatment,11948,8.131
856e2586bfee4d48a7034d4a9d003d50,10686,Image Labelling : Explicit Treatment,11948,13.294
bb1cbd74dfba4d82bf337c23c802715d,10686,Image Labelling : Explicit Treatment,11948,9.655
c880224e25ed4994977c6dcf8045d46d,10686,Image Labelling : Explicit Treatment,11948,6.901
ca5e41cddce94ed19c4a694c28feb4c9,10686,Image Labelling : Explicit Treatment,11948,9.268
0cd49beaeb2c406cbfcb2dd9c0ddad0a,10686,Image Labelling : Explicit Treatment,19190,9.339
414c18ab30cb43ec80dd75a2d216a459,10686,Image Labelling : Explicit Treatment,19190,4.718
46c21afd4aed49088af741062ff85dcf,10686,Image Labelling : Explicit Treatment,19190,4.574
47f760277ae54834b4ad6b12ea8020c9,10686,Image Labelling : Explicit Treatment,19190,5.356
5728c6cee31440338b05ebfb457cdfd2,10686,Image Labelling : Explicit Treatment,19190,9.968
603498eb39e444bf9c7debe5f40f0370,10686,Image Labelling : Explicit Treatment,19190,7.12
646e596d1f634b74aa7e20f9b8554e21,10686,Image Labelling : Explicit Treatment,19190,7.121
76c3c5af93ab4f739f85389067657851,10686,Image Labelling : Explicit Treatment,19190,27.245
81cafd5c00a543aea313fbb815311aea,10686,Image Labelling : Explicit Treatment,19190,10.518
883e6c3106984681a56fcb7b02e08164,10686,Image Labelling : Explicit Treatment,19190,9.13
924c8bd8c2eb43d1b71d71ca1760819c,10686,Image Labelling : Explicit Treatment,19190,11.849
97081dcd43ae49c1ba1daa13f9e85b0c,10686,Image Labelling : Explicit Treatment,19190,6.03
a4592d2935d34766a80ea23539a157ac,10686,Image Labelling : Explicit Treatment,19190,13.782
b0176e56a330417290fec79d3f55cbfa,10686,Image Labelling : Explicit Treatment,19190,13.111
b3cb1f0389bf409694884ab567f15664,10686,Image Labelling : Explicit Treatment,19190,4.973
ba42b367a82344639e4da70eedf59186,10686,Image Labelling : Explicit Treatment,19190,4.588
c2427212531a43a9b8c6d90afdee21c1,10686,Image Labelling : Explicit Treatment,19190,7.048
d09ff6e79ddb4d14839fc98ee6f737af,10686,Image Labelling : Explicit Treatment,19190,12.448
dab7adef84ea4802adced864ce349eef,10686,Image Labelling : Explicit Treatment,19190,7.852
039cad3d58c948c589bd0cb8c9f01cbc,10686,Image Labelling : Explicit Treatment,20426,7.928
29cbab48c65b4bf09f2f3b5fd8d9e024,10686,Image Labelling : Explicit Treatment,20426,27.22
2b1579619fc740eabd4c3823b66ccada,10686,Image Labelling : Explicit Treatment,20426,7.38
390967d0b9c84d758f72c3b88e4aacf8,10686,Image Labelling : Explicit Treatment,20426,44.435
3c1739e12aab49fb99b3743aaa863c5f,10686,Image Labelling : Explicit Treatment,20426,32.457
3f2dd5fd71ee4d4095ced02deb457631,10686,Image Labelling : Explicit Treatment,20426,14.732
245fdc04c53741ca9e565c0d9a4f4bf9,10686,Image Labelling : Explicit Treatment,41630,32.754
57caff197c0547318096f78f38decab5,10686,Image Labelling : Explicit Treatment,20426,55.565
6ecf5021b4be44d38eda6b5c6e9a13ad,10686,Image Labelling : Explicit Treatment,20426,14.508
9181450d49484a5e9bafa3afb5845901,10686,Image Labelling : Explicit Treatment,4682,13.73
017f741fd1ba45fabfbcc148942345d2,10686,Image Labelling : Explicit Treatment,4682,12.858
01eb4de16e90491ea492739a13fdd2e3,10686,Image Labelling : Explicit Treatment,4682,4.47
0510afa678204c3ea94798e2497ae3ce,10686,Image Labelling : Explicit Treatment,4682,19.695
0cf6f934a07c4763aacb81f9666768eb,10686,Image Labelling : Explicit Treatment,4682,14.15
23eede9d97604bbeaa291ead5bd78058,10686,Image Labelling : Explicit Treatment,4682,12.482
2738d77444bb481e8223fa04f71ff756,10686,Image Labelling : Explicit Treatment,4682,7.106
2d0c85762ce044cd98e1332dc4442415,10686,Image Labelling : Explicit Treatment,4682,42.098
2d6a2e4037494ec286064446def7bfc9,10686,Image Labelling : Explicit Treatment,4682,10.698
2eeb95b8ff454d4e9c71ad2dbd6a3770,10686,Image Labelling : Explicit Treatment,4682,9.949
3017a43e83a6436890d498718719678a,10686,Image Labelling : Explicit Treatment,4682,13.371
3b9b385fd9f547cdb6fd51d1d31e5601,10686,Image Labelling : Explicit Treatment,4682,13.633
43539ea992404da1a1f8ad5dfb8207ae,10686,Image Labelling : Explicit Treatment,4682,7.766
45b4f4c8005948af9f8484735e78cd37,10686,Image Labelling : Explicit Treatment,4682,6.082
4d31d370401b4db4976293cf22acd511,10686,Image Labelling : Explicit Treatment,4682,18.581
6f5a2cf1401449ab83a2dc291eaa2231,10686,Image Labelling : Explicit Treatment,4682,24.753
7ac91a6e19e945cf8729dd24280df4b7,10686,Image Labelling : Explicit Treatment,4682,39.508
a6a50aca1410404daf69aa85981495ef,10686,Image Labelling : Explicit Treatment,4682,20.079
ab36ad6d5f804bb5b615e4c5acb37613,10686,Image Labelling : Explicit Treatment,4682,7.097
ba52f086e8064b478f63fcd38ff6b350,10686,Image Labelling : Explicit Treatment,4682,12.509
d6cc4353b4644342b423a7d8edb543f5,10686,Image Labelling : Explicit Treatment,4682,10.539
e7ef7de314754a0aa242a35ef741a939,10686,Image Labelling : Explicit Treatment,4682,19.31
eb4ff2eb82414a7f8fcc1bcf9dfe37fe,10686,Image Labelling : Explicit Treatment,4682,5.915
792f9d5a203440e7a786d2ad57487a38,10686,Image Labelling : Explicit Treatment,20426,39.916
891817f2b27b48f9b762243d62f469cb,10686,Image Labelling : Explicit Treatment,20426,16.775
b5bc7545c46e454ab2d438f3facc1769,10686,Image Labelling : Explicit Treatment,20426,39.324
c012a6699a614264a49ab0d4168f9cc1,10686,Image Labelling : Explicit Treatment,20426,15.046
db4b20744bbe49388a774bf9b83d51a0,10686,Image Labelling : Explicit Treatment,20426,5.828
e3497761020e4005a4d3d49e8bd9a193,10686,Image Labelling : Explicit Treatment,20426,15.344
e9d7975143e247ffa3b66380d7459bfb,10686,Image Labelling : Explicit Treatment,20426,16.548
ed9b2c2a8ba445cf911a6ec658e80d01,10686,Image Labelling : Explicit Treatment,20426,25.769
f05c8c59881743dba7f719f6a8d8ec37,10686,Image Labelling : Explicit Treatment,20426,49.334
bfa0e5bdfb5e442c893a1fcfcb332569,10686,Image Labelling : Explicit Treatment,34810,4.719
d8d4172d78324163bdd4ab29b370e92e,10686,Image Labelling : Explicit Treatment,34810,5.934
068accc34ec34e879accf4cdeb06feff,10686,Image Labelling : Explicit Treatment,34810,11.448
11cdf1f4a0344510b56a92d5f812445b,10686,Image Labelling : Explicit Treatment,34810,5.119
1271f92c5e234d12ace0a0350e59bb17,10686,Image Labelling : Explicit Treatment,34810,6.546
25fc6e7a62984b97852d4e058446df9b,10686,Image Labelling : Explicit Treatment,34810,10.777
26992e8606134248b91419fea746acdf,10686,Image Labelling : Explicit Treatment,34810,20.756
33f2f345bb6e4029847130903751b60d,10686,Image Labelling : Explicit Treatment,34810,6.585
492830c7ee3f4db89af720e7076f15c5,10686,Image Labelling : Explicit Treatment,34810,5.506
58421e405863450cb674ff4da7a8b5ed,10686,Image Labelling : Explicit Treatment,34810,7.257
61f444ceac60471ba5ed96ab2d515537,10686,Image Labelling : Explicit Treatment,34810,4.076
74022ef7699b42bab0ecf95cdcd6e9ce,10686,Image Labelling : Explicit Treatment,34810,13.555
77331a729c7e4ab19692d2ac348904fe,10686,Image Labelling : Explicit Treatment,34810,10.226
7de5dfa04fbf4e3bba34197fd1a1261c,10686,Image Labelling : Explicit Treatment,34810,4.649
8b9f63b626d64d6d887ccec26f8d7c84,10686,Image Labelling : Explicit Treatment,34810,5.549
8eb97c513a1a42ab849efaa943c5426a,10686,Image Labelling : Explicit Treatment,34810,7.753
c72ef8e609a74220a210073e74119c7d,10686,Image Labelling : Explicit Treatment,34810,14.581
c8a91eac302c4affbeb9e83b4a49b52d,10686,Image Labelling : Explicit Treatment,34810,7.406
cfba4ac495a04c73a44cd507c77585c9,10686,Image Labelling : Explicit Treatment,34810,5.352
d7b5f1ebbe424d85bc903a4c1be76c90,10686,Image Labelling : Explicit Treatment,34810,23.555
e411310c616d449a9b922783a257e2d9,10686,Image Labelling : Explicit Treatment,34810,7.869
f98c653fbdb346acafafba8db8ae4c1e,10686,Image Labelling : Explicit Treatment,34810,6.99
0e3e3f4c11bf4c1d93453767e0672808,10686,Image Labelling : Explicit Treatment,2262,50.16
1dccd65ba3e94a16a8c5a7cd076c89ae,10686,Image Labelling : Explicit Treatment,2262,76.328
22283b15ee744f1194c787696569e7e2,10686,Image Labelling : Explicit Treatment,2262,48.552
324b548a6ae74f9fa2ec2e06db2d8e1e,10686,Image Labelling : Explicit Treatment,2262,21.9
38b88991ffae42bfa47ec42654b6edac,10686,Image Labelling : Explicit Treatment,2262,26.447
4a7c4f3cf4f8423395d86efa12d820d1,10686,Image Labelling : Explicit Treatment,2262,49.524
5dbc4faa092c41b4913440120f4903dd,10686,Image Labelling : Explicit Treatment,2262,10.018
6a5bed3f6d834c1dbe1467ea4ecd08d4,10686,Image Labelling : Explicit Treatment,2262,58.953
6c45b71d69bd4cd8bab678d5e16ce13a,10686,Image Labelling : Explicit Treatment,2262,48.219
7677ff00af8441509c2b9f409c035a82,10686,Image Labelling : Explicit Treatment,2262,16.774
94869f8ee9224ee08b23a74b20170765,10686,Image Labelling : Explicit Treatment,2262,21.454
95a58382474d496d85a4bf1b4b95709d,10686,Image Labelling : Explicit Treatment,2262,71.203
97195a5a93d742a783e2e5211608c6b3,10686,Image Labelling : Explicit Treatment,2262,13.911
